Autor;País;Nacimiento;Defunción;Cuentos
Matute, Ana María;España;1926;2014;Bernardino, El niño al que se le murió el amigo, El tiovivo, La conciencia, La rama seca, Los chicos, Los relojes, Mar, Música, Pecado de omisión
Menéndez Leal, Álvaro;El Salvador;1931;2000;Fire and Ice
Monterroso, Augusto;Guatemala;1921;2003;"Aforismos, Caballo imaginando a Dios, Cómo acercarse a las fábulas, Dejar de ser mono, El burro y la flauta, El Camaleón que finalmente no sabía de qué color ponerse, El centenario, El Conejo y el León, El dinosaurio, El eclipse, El espejo que no podía dormir, El fabulista y sus críticos, El grillo maestro, El mono que quiso ser escritor satírico, El mundo, El paraíso imperfecto, El perro que deseaba ser un ser humano, El Rayo que cayó dos veces en el mismo sitio, El salto cualitativo, El zorro es más sabio, Epitafio encontrado en el cementerio Monte Parnaso de San Blas, S.B., Fecundidad, Heraclitana, Historia fantástica, Homenaje a Masoch, Humorismo, Imaginación y destino, La fe y las montañas, La honda de David, La jirafa que de pronto comprendió que todo es relativo, La mosca que soñaba que era un águila, La oveja negra, La rana que quería ser una rana auténtica, La sirena inconforme, La tela de Penélope o quién engaña a quién, La tortuga y Aquiles, La vida en común, Las criadas, Míster Taylor, Nube, ""Nulla dies sine linea"", Obras completas, Pigmalión, Sinfonía concluida, Te conozco mascarita"
Mujica Láinez, Manuel;Argentina;1910;1984;El hambre, El hombrecito del azulejo, El ilustre amor (1797), La adoración de los Reyes Magos, Narciso, Un artista
Mutis, Álvaro;Colombia;1923;2013;Capitán del 3º de Lanceros de la Guardia Imperial, El último rostro, Hay un oficio, Intermedio en Niza, La muerte del estratega, Lámparas de hojalata, Mal de ojo, Sharaya, Si te empeñas, Soledad, Sueño del fraile
Novás Calvo, Lino;Cuba;1903;1983;Angusola y los cuchillos, Aquella noche salieron los muertos, Cayo Canas, Un buchito de café
Ocampo, Silvina;Argentina;1913;1993;Cielo de claraboyas, El retrato mal hecho, El vendedor de estatuas, El verdugo, El vestido verde aceituna, La cabeza pegada al vidrio, La expiación
Onetti, Juan Carlos;Uruguay;1909;1994;Bienvenido, Bob, El árbol, El cerdito, El gato, El impostor, El infierno tan temido, El posible Baldi, Esbjerg, en la costa, Ida y vuelta, La araucaria, La escopeta, Las tres de la mañana, Los besos, Mañana será otro día, Mascarada, Un sueño realizado
Ortega y Gasset, José;España;1883;1955;Dan Auta
Palacio, Pablo;Ecuador;1906;1947;La doble y única mujer
Palacio Valdés, Armando;España;1853;1938;El sueño de un reo de muerte, Los puritanos, Polifemo
Palma, Ricardo;Perú;1833;1919;¡A nadar, peces!, Aceituna, una, Oficiosidad no agradecida, Por beber una copa de oro
