Autor;País;Nacimiento;Defunción
Mann, Thomas;Alemania;1875;1955
Mansfield, Katherine;Nueva Zelandia;1888;1923
Marqués, René;Puerto Rico;1919;1979
Martínez Ruiz, José (Azorín);España;1873;1967
Matute, Ana María;España;1926;2014
Maugham, W. Somerset;Inglés;1874;1965
Maupassant, Guy de;Francia;1850;1893
Melville, Herman;Estados Unidos;1819;1891
Menéndez Leal, Álvaro;El Salvador;1931;2000
Mérimée, Próspero;Francia;1803;1870
Meyrink, Gustav;Austria;1868;1932
Mishima, Yukio;Japón;1925;1970
Monterroso, Augusto;Guatemala;1921;2003
Moravia, Alberto;Italia;1907;1990
Mrozek, Slawomir;Polonia;1930;2013
Mujica Láinez, Manuel;Argentina;1910;1984
Musset, Alfred de;Francia;1810;1857
Mutis, Álvaro;Colombia;1923;2013
Nabokov, Vladimir;Rusia;1899;1977
Navarra, Margarita de;Francia;1492;1549
Novás Calvo, Lino;Cuba;1903;1983
O'Connor, Flannery;Estados Unidos;1925;1964
Ocampo, Silvina;Argentina;1913;1993
Onetti, Juan Carlos;Uruguay;1909;1994
Örkény, István;Hungría;1912;1979
Ortega y Gasset, José;España;1883;1955
Palacio, Pablo;Ecuador;1906;1947
Palacio Valdés, Armando;España;1853;1938
Palma, Ricardo;Perú;1833;1919
Papini, Giovanni;Italia;1881;1956
Pardo Bazán, Emilia;España;1851;1921
Parker, Dorothy;Estados Unidos;1893;1967
Parra, Teresa de la;Venezolana;1889;1936
Pavese, Cesare;Italia;1908;1950
Payno, Manuel;México;1810;1894
Paz, Octavio;México;1914;1998
Pérez Galdós, Benito;España;1843;1920
Perrault, Charles;Francia;1628;1703
Pessoa, Fernando;Portugal;1888;1935
Pi y Margall, Francisco;España;1824;1901
Piñera, Virgilio;Cuba;1912;1979
Pirandello, Luigi;Italia;1867;1936
Pitol, Sergio;México;1933;2018
Platónov, Andréi;Rusia;1899;1951
Pocaterra, José Rafael;Venezuela;1889;1955
Poe, Edgar Allan;Estados Unidos;1809;1849
Porter, Katherine Anne;Estados Unidos;1890;1980
Potocki, Jan;Polonia;1761;1815
Prévost, Marcel;Francia;1862;1941
Puchkin, Alexandr;Rusia;1799;1837
Queen, Ellery;Estados Unidos;1905;1982
Quiroga, Horacio;Uruguay;1878;1937
Renard, Jules;Francia;1864;1910
Revueltas, José;México;1914;1976
Reyes, Alfonso;México;1889;1959
Ribeyro, Julio Ramón;Perú;1929;1994
Rivera, Andrés;Argentina;1928;2016
Roa Bastos, Augusto;Paraguay;1917;2005
